q1,q2
Q229917,Q128240
Q661712,Q637718
Q566531,Q166358
Q199390,Q220545
Q219841,Q570332
Q466460,Q098300
Q342640,Q082254
Q474005,Q255610
Q132582,Q637000
Q071557,Q274954
Q500486,Q632956
Q250775,Q202833
Q158226,Q376094
Q691602,Q075641
Q000350,Q408070
Q446198,Q452641
Q565005,Q259605
Q215449,Q228130
Q706474,Q202109
Q034447,Q145250
Q008611,Q251242
Q564203,Q024437
Q199041,Q362689
Q661170,Q606371
Q682829,Q494560
Q007711,Q518705
Q444487,Q661326
Q043845,Q486146
Q106118,Q191456
Q721779,Q235768
Q317039,Q197175
Q706474,Q376179
Q463429,Q228720
Q586148,Q155731
Q317214,Q671859
Q116386,Q592238
Q122027,Q012126
Q661564,Q502223
Q077082,Q086525
Q478461,Q229345
Q426641,Q698559
Q546858,Q650525
Q017812,Q426965
Q677649,Q342729
Q201058,Q410328
Q429362,Q630779
Q247108,Q213424
Q036058,Q401406
Q499600,Q575995
Q550802,Q153219
Q667879,Q155963
Q642973,Q190881
Q174823,Q557128
Q053480,Q010937
Q225809,Q526058
Q643535,Q567414
Q722702,Q168614
Q496253,Q251825
Q369673,Q116814
Q236273,Q583249
Q038312,Q035525
Q254503,Q669048
Q638241,Q707099
Q077862,Q598433
Q508335,Q417192
Q488422,Q132385
Q014397,Q090637
Q462540,Q340559
Q008067,Q552875
Q196148,Q322620
Q082532,Q217913
Q101885,Q395007
Q475251,Q158720
Q311317,Q065723
Q570521,Q177818
Q334336,Q164800
Q155963,Q726517
Q333830,Q158556
Q267014,Q111526
Q620920,Q573081
Q544975,Q356360
Q429174,Q495888
Q218473,Q709212
Q475587,Q170130
Q155593,Q002999
Q461114,Q150599
Q672044,Q375004
Q050172,Q123481
Q564882,Q250443
Q027684,Q467856
Q202445,Q275011
Q494312,Q309183
Q278103,Q227629
Q482314,Q346414
Q441742,Q323751
Q320243,Q698022
Q329017,Q354023
Q707592,Q303437
Q176109,Q518129
Q618999,Q031856
Q248228,Q708101
Q201180,Q613553
Q421580,Q443071
Q118726,Q295102
Q632344,Q432723
Q554648,Q327044
Q390869,Q031398
Q337062,Q262730
Q114444,Q583480
Q252711,Q312453
Q663778,Q142496
Q370864,Q700138
Q572213,Q236447
Q403560,Q427498
Q161223,Q361404
Q184333,Q254503
Q703145,Q128646
Q308311,Q122045
Q178985,Q003896
Q046374,Q317229
Q501171,Q488673
Q394703,Q606638
Q480408,Q462199
Q169791,Q080831
Q353023,Q118705
Q652380,Q558234
Q285230,Q687843
Q036556,Q149002
Q143342,Q179930
Q282675,Q597597
Q157456,Q173689
Q221980,Q154583
Q716537,Q123742
Q428478,Q537547
Q676869,Q591905
Q383910,Q368051
Q553390,Q498376
Q684468,Q055378
Q304201,Q341130
Q536356,Q262576
Q048842,Q352951
Q380682,Q568355
Q442997,Q015396
Q231306,Q665566
Q721347,Q599154
Q059590,Q595401
Q509884,Q554102
Q716537,Q556047
Q437479,Q059919
Q197902,Q445171
Q506527,Q220676
Q647480,Q648379
Q265906,Q604262
Q127824,Q160505
Q405305,Q351366
Q428785,Q098300
Q415208,Q000856
Q695067,Q576769
Q558935,Q080512
Q328040,Q564399
Q196887,Q198968
Q562130,Q715390
Q535194,Q272188
Q475751,Q224680
Q396172,Q101400
Q273651,Q349930
Q505614,Q450160
Q281874,Q004521
Q364005,Q165425
Q433044,Q413461
Q448950,Q674829
Q240344,Q234264
Q598666,Q039879
Q521795,Q494303
Q187967,Q336050
Q410155,Q215369
Q217913,Q437681
Q369676,Q454844
Q683882,Q352724
Q605545,Q202211
Q699403,Q307971
Q109026,Q168803
Q221995,Q096719
Q503854,Q170398
Q381577,Q195417
Q240241,Q720568
Q048586,Q382212
Q170942,Q472011
Q328885,Q373847
Q321414,Q500190
Q498873,Q439923
Q204902,Q713602
Q404618,Q280634
Q550090,Q451368
Q423386,Q086168
Q029856,Q051010
Q219356,Q416215
Q616119,Q021315
Q462598,Q516000
Q270684,Q468976
Q031510,Q320491
Q090331,Q192492
Q421163,Q583210
Q681032,Q635459
Q646848,Q105594
Q643109,Q098482
Q474488,Q662454
Q500832,Q057542
Q119427,Q290847
Q144201,Q239128
Q515552,Q692470
Q643372,Q094693
Q455468,Q718216
Q592111,Q064468
Q113754,Q543947
Q066438,Q264872
Q252742,Q182905
Q650271,Q277483
Q472902,Q041800
Q085761,Q310744
Q418123,Q538676
Q433044,Q113717
Q323727,Q307186
Q654285,Q258856
Q634726,Q184901
Q365259,Q095946
Q196148,Q567191
Q600507,Q265077
Q100249,Q143931
Q201017,Q512975
Q196590,Q093970
Q358676,Q181399
Q366393,Q340743
Q332277,Q002222
Q498518,Q715688
Q481285,Q442596
Q519044,Q145824
Q696465,Q097398
Q076557,Q036667
Q144884,Q486452
Q724294,Q672738
Q377237,Q226524
Q074940,Q707263
Q425763,Q330659
Q317608,Q368051
Q139860,Q276613
Q032956,Q021177
Q393839,Q274866
Q041575,Q460178
Q530359,Q164575
Q023499,Q412660
Q590049,Q066971
Q007719,Q227330
Q424728,Q500887
Q444751,Q227629
Q347248,Q007641
Q679755,Q288071
Q161919,Q348689
Q229729,Q582377
Q258748,Q654866
Q080014,Q324914
Q388851,Q357030
Q304432,Q521607
Q298598,Q539710
Q317009,Q255111
Q008078,Q659439
Q409419,Q599325
Q626851,Q240528
Q640864,Q299994
Q288200,Q270507
Q723914,Q275011
Q123973,Q528681
Q280677,Q456113
Q383403,Q006181
Q502467,Q406596
Q131654,Q438519
Q495881,Q487706
Q114902,Q445679
Q406892,Q274440
Q315904,Q357210
Q266517,Q248881
Q478327,Q579007
Q704677,Q703666
Q237495,Q273064
Q426330,Q363326
Q656585,Q592292
Q110600,Q715718
Q022562,Q143124
Q689422,Q666869
Q125866,Q517184
Q377654,Q682336
Q189688,Q228171
Q623416,Q312581
Q645989,Q687381
Q206932,Q625087
Q204597,Q514052
Q491879,Q631209
Q445955,Q482264
Q221980,Q412339
Q244687,Q515329
Q394714,Q067277
Q377653,Q503465
Q202360,Q182712
Q059153,Q630045
Q390462,Q050678
Q240011,Q182499
Q020935,Q721374
Q209666,Q622969
Q715180,Q154553
Q679755,Q485577
Q241782,Q255310
Q220388,Q356132
Q174112,Q026293
Q588336,Q356529
Q533599,Q246487
Q356306,Q571092
Q068167,Q671859
Q518638,Q700287
Q295592,Q348533
Q321643,Q440897
Q036353,Q315105
Q446650,Q503069
Q097337,Q491292
Q518116,Q503514
Q252659,Q495888
Q008315,Q332978
Q332991,Q258728
Q618232,Q487231
Q482416,Q574025
Q678431,Q470136
Q397047,Q670055
Q212578,Q187179
Q697426,Q688741
Q345256,Q082482
Q695183,Q201108
Q290847,Q562867
Q361012,Q226810
Q393816,Q709074
Q499579,Q495057
Q164029,Q404042
Q269499,Q334336
Q333275,Q296205
Q444229,Q068418
Q331604,Q514862
Q254251,Q636857
Q024320,Q598677
Q135836,Q420200
Q546319,Q012603
Q163813,Q373367
Q606353,Q230289
Q650190,Q429561
Q521997,Q137164
Q120117,Q065340
Q235080,Q619660
Q658611,Q638588
Q461174,Q542572
Q617721,Q086350
Q026590,Q047148
Q637243,Q285104
Q088675,Q481053
Q254394,Q119318
Q722861,Q688454
Q565861,Q539341
Q385819,Q067597
Q165676,Q572203
Q284119,Q696938
Q148579,Q427807
Q553985,Q686679
Q078760,Q534762
Q453871,Q583678
Q559854,Q375139
Q125827,Q057859
Q454682,Q594692
Q200223,Q174132
Q126151,Q476191
Q550332,Q249641
Q017907,Q499430
Q443182,Q508923
Q336418,Q715877
Q494088,Q243351
Q465202,Q089587
Q450557,Q115103
Q247112,Q582170
Q146012,Q620582
Q452275,Q522637
Q674118,Q077285
Q653199,Q080437
Q015769,Q413185
Q646476,Q518815
Q033925,Q163813
Q464235,Q436174
Q080586,Q722517
Q166008,Q381163
Q450664,Q434933
Q250661,Q646165
Q467183,Q561575
Q043836,Q082408
Q286232,Q021172
Q356940,Q390170
Q706069,Q546370
Q112882,Q449777
Q554173,Q426050
Q508748,Q351319
Q607529,Q713998
Q189938,Q670173
Q341579,Q101590
Q286415,Q560049
Q649815,Q472442
Q270773,Q200951
Q533671,Q700127
Q582925,Q090637
Q225466,Q601162
Q187571,Q020693
Q460638,Q147920
Q595732,Q528281
Q253759,Q178716
Q711142,Q283217
Q321441,Q036365
Q457356,Q051165
Q237495,Q452855
Q219203,Q481068
Q028601,Q191630
Q276372,Q268259
Q116157,Q025100
Q283445,Q028946
Q354042,Q510191
Q681867,Q426539
Q475438,Q051916
Q135863,Q718693
Q291781,Q717731
Q238611,Q091246
Q233288,Q226771
Q702007,Q532138
Q721420,Q404743
Q102713,Q568330
Q295090,Q569919
Q589826,Q187805
Q487085,Q160654
Q636090,Q655199
Q584059,Q257170
Q491101,Q323532
Q037995,Q483035
Q251328,Q710735
Q515998,Q649619
Q447172,Q240144
Q073452,Q131268
Q442249,Q225097
Q684533,Q196919
Q152677,Q324398
Q019840,Q190110
Q026132,Q636399
Q104969,Q709276
Q006226,Q113250
Q251251,Q130496
Q423386,Q531379
Q410328,Q473000
Q490623,Q687539
Q579918,Q707252
Q330134,Q165123
Q587058,Q192492
Q240124,Q051277
Q038270,Q259503
Q695765,Q595663
Q010797,Q652674
Q148765,Q484506
Q595919,Q401384
Q161156,Q071568
Q444086,Q488738
Q532918,Q317831
Q375677,Q626710
Q628651,Q677814
Q215912,Q018136
Q121048,Q627362
Q329089,Q371226
Q316853,Q610504
Q173446,Q527799
Q619033,Q532322
Q045844,Q625987
Q633407,Q541725
Q084642,Q212017
Q468101,Q679431
Q255548,Q597447
Q415810,Q123263
Q453784,Q162511
Q188365,Q044718
Q538229,Q486926
Q000047,Q522718
Q127447,Q358671
Q571483,Q464598
Q126789,Q619871
Q396331,Q261481
Q717563,Q608366
Q681589,Q234186
Q708211,Q583103
Q058752,Q649792
Q433044,Q142527
Q347887,Q273001
Q110151,Q096520
Q007641,Q641857
Q724877,Q631188
Q393547,Q356488
Q350594,Q198274
Q014618,Q062356
Q047455,Q167438
Q453256,Q364401
Q037513,Q609836
Q204888,Q553556
Q167496,Q620311
Q070474,Q308198
Q416281,Q313229
Q044530,Q423595
Q260363,Q686964
Q688811,Q652374
Q142471,Q200953
Q715989,Q122710
Q403462,Q155698
Q401830,Q290490
Q234615,Q394995
Q128994,Q180301
Q606185,Q136289
Q217856,Q484401
Q579909,Q417010
Q454631,Q594638
Q064690,Q727058
Q239973,Q250403
Q695462,Q539218
Q709473,Q169132
Q269630,Q421598
Q634986,Q090968
Q561976,Q323040
Q397471,Q116866
Q685611,Q119645
Q644309,Q297153
Q699915,Q590372
Q348509,Q171896
Q527798,Q057542
Q302470,Q687325
Q569275,Q268765
Q453132,Q066903
Q330134,Q674843
Q049292,Q601749
Q248729,Q720814
Q460268,Q318839
Q651388,Q069709
Q013279,Q280483
Q247154,Q048138
Q567679,Q016990
Q533129,Q371976
Q127163,Q198893
Q603988,Q561293
Q003999,Q142422
Q417949,Q123401
Q268220,Q461452
Q129182,Q159595
Q004611,Q125532
Q182579,Q267103
Q340466,Q075893
Q220676,Q059652
Q500657,Q074941
Q476211,Q016483
Q560846,Q193287
Q645635,Q568032
Q344596,Q467931
Q143964,Q426601
Q572006,Q444476
Q631353,Q155425
Q547054,Q558448
Q327896,Q249280
Q633676,Q069833
Q491443,Q481947
Q475157,Q257170
Q150725,Q641857
Q203831,Q241871
Q401768,Q052678
Q020916,Q718308
Q508358,Q388701
Q518208,Q013472
Q507735,Q713051
Q460268,Q469759
Q466421,Q189924
Q652547,Q495371
Q721074,Q455218
Q153424,Q351006
Q692287,Q072767
Q447513,Q440897
Q251061,Q136005
Q518129,Q720900
Q571099,Q463390
Q129778,Q462466
Q012795,Q723911
Q475235,Q584059
Q238056,Q565943
Q166534,Q339656
Q363505,Q303453
Q264777,Q451345
Q305873,Q412660
Q324076,Q670470
Q423849,Q561138
Q062928,Q127227
Q002423,Q614836
Q202556,Q380745
Q646476,Q115910
Q192753,Q012907
Q727024,Q352951
Q465537,Q317160
Q474488,Q360943
Q120405,Q411977
Q372965,Q651360
Q634009,Q229640
Q439978,Q111220
Q234984,Q510383
Q251689,Q595630
Q640795,Q158226
Q185434,Q719981
Q711742,Q696938
Q357151,Q324226
Q207303,Q521058
Q159309,Q333830
Q457450,Q202511
Q097502,Q533671
Q104353,Q523703
Q621480,Q185486
Q525131,Q461326
Q394049,Q153691
Q044864,Q030839
Q416335,Q616666
Q664795,Q052728
Q287123,Q488626
Q319302,Q104693
Q357001,Q637795
Q627955,Q676118
Q308158,Q021822
Q525075,Q498841
Q646532,Q429362
Q519272,Q636468
Q684533,Q133274
Q158313,Q577190
Q264754,Q457819
Q438076,Q716427
Q397873,Q394271
Q614729,Q133582
Q724305,Q371279
Q707070,Q492253
Q448093,Q171077
Q350740,Q438625
Q667515,Q583649
Q699093,Q162765
Q420792,Q575750
Q383403,Q655100
Q158228,Q690553
Q174085,Q511438
Q582157,Q102292
Q570967,Q625695
Q111543,Q381948
Q276176,Q707289
Q631629,Q710205
Q453773,Q657563
Q496497,Q115213
Q118330,Q146310
Q068402,Q260385
Q101885,Q652309
Q055407,Q612723
Q354605,Q476828
Q374488,Q710431
Q236974,Q305873
Q422297,Q054959
Q267709,Q357180
Q127796,Q175276
Q181063,Q501704
Q702202,Q435745
Q079614,Q164492
Q012037,Q678439
Q231827,Q714067
Q234670,Q070547
Q018171,Q537315
Q564937,Q282335
Q631271,Q394729
Q282787,Q558021
Q042837,Q580790
Q416859,Q074941
Q517030,Q620869
Q357659,Q053484
Q111195,Q628723
Q074029,Q499857
Q501606,Q219413
Q138002,Q502684
Q095138,Q125805
Q478777,Q135146
Q373458,Q104976
Q051810,Q062158
Q216802,Q650051
Q082614,Q567885
Q476191,Q286155
Q304337,Q299005
Q221964,Q547113
Q153691,Q599670
Q119889,Q228645
Q121428,Q656817
Q430608,Q308791
Q655765,Q546641
Q560770,Q537849
Q095545,Q555805
Q380402,Q484073
Q296993,Q610729
Q107428,Q265892
Q563755,Q264872
Q152756,Q510350
Q113548,Q488422
Q653336,Q315679
Q014381,Q537829
Q213512,Q709407
Q326787,Q489123
Q419812,Q039149
Q093134,Q311873
Q407473,Q286647
Q365962,Q243519
Q650130,Q381441
Q038953,Q342286
Q195478,Q519882
Q594571,Q267909
Q351544,Q173873
Q342286,Q052033
Q562130,Q696165
Q505619,Q473733
Q703237,Q706728
Q510191,Q151047
Q455025,Q437280
Q634966,Q421268
Q565472,Q288035
Q475438,Q030768
Q349913,Q061358
Q081366,Q165966
Q522469,Q380109
Q683958,Q703431
Q536873,Q365407
Q332139,Q252263
Q024174,Q654910
Q554173,Q419707
Q327729,Q402683
Q696165,Q471004
Q232443,Q280217
Q665030,Q198457
Q371154,Q723602
Q190396,Q684402
Q192027,Q068620
Q229359,Q531914
Q233201,Q132778
Q543100,Q066333
Q724985,Q325041
Q235469,Q610237
Q394738,Q059457
Q699755,Q493835
Q616951,Q454206
Q298926,Q414342
Q208783,Q022959
Q149770,Q408070
Q379347,Q696465
Q664933,Q700522
Q527799,Q091316
Q145467,Q171578
Q173805,Q128587
Q604685,Q659659
Q379796,Q149002
Q259801,Q428289
Q667407,Q143912
Q712241,Q423595
Q058918,Q593598
Q416534,Q064690
Q109493,Q105446
Q141611,Q522879
Q283403,Q132230
Q587436,Q365962
Q362657,Q662142
Q064916,Q195880
Q625021,Q021086
Q519780,Q529701
Q552004,Q511554
Q468180,Q299419
Q450524,Q607668
Q701527,Q693228
Q698976,Q361706
Q540487,Q654175
Q433751,Q176196
Q163330,Q176784
Q689366,Q623003
Q331483,Q607765
Q001894,Q207184
Q213060,Q681482
Q532045,Q576196
Q137780,Q468624
Q227420,Q668372
Q143274,Q386947
Q221527,Q486113
Q376007,Q422420
Q141000,Q670017
Q407356,Q171386
Q042602,Q014749
Q381327,Q667563
Q306314,Q323867
Q202211,Q365061
Q357689,Q165794
Q007902,Q487434
Q623000,Q314532
Q715703,Q309402
Q433567,Q695209
Q257804,Q719212
Q003698,Q166008
Q405571,Q014356
Q211751,Q505033
Q469287,Q592006
Q348844,Q593076
Q512266,Q119330
Q627065,Q677243
Q225808,Q317550
Q337429,Q493979
Q180027,Q293692
Q673501,Q086168
Q179039,Q512457
Q046551,Q320473
Q512480,Q369715
Q389872,Q486102
Q666665,Q276975
Q044207,Q584907
Q319869,Q428764
Q507911,Q527130
Q595561,Q103724
Q124822,Q346861
Q176256,Q695345
Q576222,Q685447
Q466796,Q464497
Q016576,Q583026
Q212578,Q440929
Q510652,Q466421
Q725748,Q589814
Q669849,Q146310
Q728069,Q500777
Q191204,Q657519
Q493188,Q280673
Q636886,Q122174
Q240164,Q397100
Q665172,Q723786
Q349376,Q366297
Q434185,Q455218
Q610019,Q077551
Q717262,Q525277
Q277269,Q438519
Q351544,Q219054
Q385798,Q487847
Q040243,Q679770
Q284008,Q494416
Q191732,Q148452
Q560056,Q095741
Q227492,Q557128
Q721961,Q320491
Q084822,Q019110
Q280214,Q314986
Q698996,Q338859
Q648571,Q199943
Q151560,Q721330
Q016691,Q438076
Q509780,Q395767
Q696480,Q654562
Q455619,Q018757
Q292316,Q118726
Q485274,Q631403
Q421676,Q031024
Q126151,Q206051
Q323217,Q603158
Q104331,Q693127
Q043147,Q158447
Q396450,Q648511
Q216299,Q206548
Q310848,Q544178
Q420780,Q660889
Q021564,Q288129
Q288883,Q428012
Q341707,Q426632
Q023475,Q628639
Q689256,Q015382
Q327851,Q459108
Q644309,Q477538
Q039161,Q427244
Q064983,Q096975
Q049540,Q474679
Q136654,Q035462
Q192023,Q718216
Q382168,Q706475
Q230472,Q614186
Q625021,Q159150
Q040710,Q023073
Q386947,Q205072
Q656257,Q239353
Q265788,Q493835
Q362239,Q642312
Q189207,Q378429
Q204442,Q605623
Q403082,Q693029
Q469287,Q652273
Q475301,Q295887
Q413126,Q409552
Q481188,Q640529
Q276894,Q422479
Q185812,Q716760
Q420460,Q179957
Q726517,Q154804
Q202187,Q012992
Q201808,Q724862
Q559353,Q654163
Q186803,Q599844
Q447734,Q481943
Q553954,Q482264
Q667500,Q423859
Q354378,Q656197
Q689561,Q143362
Q247289,Q034957
Q125827,Q058621
Q461612,Q066903
Q015885,Q004763
Q213517,Q416289
Q649172,Q668657
Q351993,Q703237
Q023514,Q192492
Q453851,Q454057
Q001895,Q727024
Q593705,Q166316
Q406886,Q529306
Q420792,Q674243
Q348923,Q689225
Q157472,Q441377
Q516074,Q397345
Q699976,Q349052
Q282787,Q625929
Q442152,Q331063
Q491055,Q307032
Q591722,Q628735
Q007586,Q159969
Q309935,Q555376
Q046894,Q205557
Q379234,Q133095
Q337890,Q183326
Q537006,Q207943
Q660556,Q275858
Q571741,Q456416
Q498163,Q080061
Q623120,Q373458
Q367874,Q500078
Q657388,Q384138
Q180517,Q554230
Q683763,Q482264
Q009047,Q562633
Q191872,Q462253
Q478080,Q374587
Q444707,Q562171
Q027281,Q591597
Q460055,Q176999
Q133656,Q514632
Q213517,Q584687
Q368961,Q247865
Q433558,Q425483
Q652814,Q296329
Q421623,Q361756
Q557473,Q476532
Q273197,Q489957
Q179617,Q714093
Q705674,Q036067
Q356264,Q682304
Q109026,Q325447
Q229768,Q283379
Q218962,Q618764
Q156779,Q724628
Q475257,Q113996
Q017175,Q499189
Q392256,Q687620
Q142422,Q672213
Q019382,Q467351
Q118685,Q032779
Q475619,Q503834
Q168906,Q128480
Q317214,Q442596
Q187424,Q089422
Q053231,Q671234
Q077693,Q254963
Q060792,Q187538
Q606353,Q240124
Q098170,Q455653
Q610378,Q535308
Q290352,Q628583
Q418112,Q599358
Q237704,Q406627
Q517439,Q532177
Q338299,Q114902
Q695765,Q097095
Q365530,Q057446
Q074733,Q471191
Q502291,Q561843
Q709928,Q725577
Q019559,Q272188
Q533505,Q063748
Q609432,Q638704
Q302139,Q344054
Q358304,Q539312
Q411444,Q421758
Q683320,Q646048
Q175616,Q054117
Q179535,Q075159
Q636162,Q313366
Q498454,Q584869
Q609412,Q625407
Q226213,Q606143
Q583084,Q375984
Q039903,Q512344
Q341623,Q387369
Q237882,Q685058
Q500383,Q154226
Q078954,Q636513
Q352724,Q464221
Q246342,Q354073
Q069077,Q234035
Q670749,Q330183
Q210747,Q343928
Q240011,Q482014
Q131875,Q304088
Q430377,Q496946
Q225676,Q406280
Q140393,Q234032
Q643393,Q164575
Q542655,Q698976
Q391651,Q702007
Q333303,Q165659
Q396751,Q192969
Q579043,Q122767
Q048580,Q203694
Q311433,Q526283
Q425756,Q599907
Q514908,Q330000
Q668538,Q049905
Q044277,Q359074
Q388951,Q593454
Q228290,Q468874
Q031856,Q025946
Q201680,Q059947
Q042575,Q481307
Q299214,Q412547
Q387786,Q573350
Q009478,Q445071
Q289402,Q422297
Q342640,Q504008
Q439813,Q342654
Q574833,Q051292
Q375139,Q351319
Q406261,Q710641
Q102624,Q143655
Q585430,Q276234
Q187052,Q641256
Q342044,Q527798
Q187437,Q469546
Q236793,Q637587
Q155731,Q369860
Q409234,Q066137
Q545106,Q279757
Q127163,Q127722
Q521124,Q282057
Q472968,Q628124
Q394362,Q312688
Q226213,Q392244
Q239548,Q405662
Q321040,Q494635
Q270424,Q678917
Q512381,Q430328
Q575749,Q226249
Q269564,Q305436
Q166807,Q014839
Q256310,Q056525
Q452202,Q681867
Q171375,Q157920
Q447513,Q148605
Q288579,Q450278
Q415176,Q047265
Q484834,Q604082
Q526656,Q526868
Q243519,Q061703
Q271719,Q675588
Q155624,Q583239
Q498453,Q019086
Q397371,Q084757
Q678175,Q335273
Q617347,Q541286
Q604368,Q437926
Q110628,Q251570
Q028823,Q626448
Q558448,Q232284
Q711576,Q450217
Q013170,Q494925
Q335899,Q532441
Q139436,Q600320
Q090461,Q345245
Q592583,Q100568
Q094813,Q175874
Q226821,Q050172
Q003896,Q710566
Q571513,Q347382
Q034075,Q320466
Q447161,Q536057
Q432438,Q548259
Q334306,Q305531
Q202251,Q671601
Q634647,Q579936
Q192426,Q075232
Q553669,Q340501
Q318940,Q388179
Q112129,Q060460
Q176109,Q603141
Q105791,Q073817
Q447075,Q693008
Q265906,Q489948
Q595854,Q059011
Q538547,Q280634
Q215912,Q434749
Q128661,Q193168
Q067376,Q085587
Q361579,Q134196
Q038882,Q007482
Q436014,Q081970
Q265719,Q503834
Q671004,Q292746
Q135431,Q118885
Q684348,Q199465
Q487013,Q223245
Q417132,Q456673
Q138637,Q572376
Q091943,Q111526
Q164357,Q500651
Q323081,Q409905
Q432267,Q691296
Q028875,Q251689
Q524784,Q715327
Q564482,Q481026
Q643812,Q316918
Q681885,Q527513
Q451945,Q561807
Q583649,Q320730
Q644102,Q166888
Q721071,Q007692
Q546629,Q276795
Q686726,Q575446
Q649619,Q208214
Q637421,Q662217
Q613572,Q413721
Q088710,Q443818
Q234184,Q715496
Q316668,Q234747
Q427410,Q704964
Q312453,Q414290
Q038866,Q273267
Q074058,Q655349
Q030768,Q588698
Q136685,Q482901
Q357356,Q011491
Q350740,Q157283
Q166358,Q541429
Q706388,Q406627
Q181522,Q280634
Q689530,Q529050
Q500461,Q283737
Q058958,Q119100
Q469695,Q254797
Q665297,Q457819
Q646717,Q554124
Q061442,Q655765
Q644118,Q362282
Q282255,Q316185
Q425068,Q345551
Q686372,Q341130
Q225485,Q434510
Q363094,Q340148
Q372655,Q152700
Q385318,Q539525
Q712108,Q462087
Q462680,Q420694
Q212145,Q254598
Q256520,Q137432
Q084588,Q464497
Q554120,Q415949
Q554120,Q350485
Q083509,Q510467
Q653366,Q204075
Q704677,Q186272
Q726671,Q554323
Q522268,Q369831
Q229538,Q171960
Q570771,Q315599
Q155062,Q163330
Q340775,Q620812
Q680276,Q518116
Q108069,Q638779
Q663433,Q666203
Q617818,Q363870
Q564482,Q012965
Q686621,Q375968
Q254015,Q398679
Q116918,Q123742
Q204355,Q696408
Q007727,Q519864
Q499216,Q275206
Q217978,Q149521
Q695835,Q113105
Q584696,Q375342
Q489966,Q096795
Q319869,Q517079
Q213152,Q282255
Q423508,Q559109
Q652552,Q546877
Q512345,Q393266
Q466460,Q238408
Q686772,Q578340
Q219252,Q561240
Q224779,Q249258
Q719308,Q443135
Q589465,Q505929
Q187220,Q020751
Q164946,Q675468
Q148347,Q305297
Q017175,Q035503
Q379077,Q110090
Q492290,Q504172
Q239907,Q677866
Q163281,Q060159
Q682829,Q483507
Q620122,Q680944
Q217836,Q142684
Q242747,Q647902
Q146133,Q399489
Q304493,Q126323
Q192618,Q161155
Q517723,Q375691
Q450524,Q312254
Q569998,Q399876
Q171359,Q671403
Q165958,Q718615
Q627386,Q515932
Q048561,Q517980
Q536356,Q213152
Q166609,Q097551
Q005793,Q648430
Q136009,Q351425
Q407285,Q017004
Q666961,Q040739
Q509231,Q340807
Q423097,Q453176
Q673023,Q284346
Q564399,Q392424
Q240164,Q605388
Q124545,Q725253
Q150241,Q416335
Q385845,Q665644
Q567847,Q657252
Q396751,Q658695
Q229172,Q336898
Q398848,Q198893
Q673579,Q593308
Q351000,Q604180
Q369724,Q064948
Q186881,Q243955
Q206654,Q170807
Q125713,Q095003
Q177487,Q358497
Q034957,Q118509
Q458443,Q650362
Q647099,Q163174
Q236112,Q024547
Q321585,Q708318
Q227359,Q592759
Q700666,Q569512
Q618040,Q051475
Q365642,Q261696
Q082365,Q026293
Q127227,Q526530
Q098757,Q289613
Q380392,Q054411
Q417132,Q553556
Q488587,Q085687
Q253480,Q617204
Q124260,Q511465
Q196612,Q121082
Q536057,Q557433
Q373248,Q228930
Q012736,Q220545
Q596506,Q405553
Q272471,Q243770
Q676869,Q450076
Q558880,Q138726
Q229917,Q631561
Q565242,Q588910
Q452416,Q494061
Q330000,Q063748
Q344309,Q009047
Q360509,Q112631
Q019356,Q068773
Q475496,Q311749
Q727264,Q034852
Q445606,Q250961
Q319771,Q325462
Q399039,Q540473
Q048815,Q396331
Q230933,Q280647
Q214937,Q228866
Q605410,Q340374
Q593111,Q440095
Q647412,Q348077
Q225743,Q329596
Q362376,Q113801
Q562113,Q386187
Q302088,Q105045
Q051010,Q045517
Q530771,Q556733
Q100925,Q138292
Q042602,Q183267
Q220724,Q312254
Q588697,Q713129
Q639481,Q194433
Q379106,Q234076
Q143276,Q412547
Q691455,Q272616
Q201680,Q388323
Q064290,Q540781
Q675776,Q677281
Q526283,Q079276
Q069040,Q674334
Q630607,Q069747
Q531364,Q479637
Q526644,Q703115
Q515547,Q042769
Q059940,Q144197
Q348844,Q281462
Q201042,Q116578
Q184734,Q494453
Q584909,Q421758
Q271238,Q146366
Q085339,Q702663
Q303479,Q498612
Q704510,Q238050
Q550090,Q277436
Q067579,Q521658
Q527747,Q533913
Q036142,Q279040
Q486826,Q614332
Q331539,Q455391
Q051165,Q601688
Q365434,Q659768
Q591707,Q485647
Q548970,Q724250
Q286750,Q527773
Q422951,Q503195
Q466283,Q636076
Q681560,Q703874
Q685611,Q355261
Q393279,Q014907
Q320915,Q201237
Q343379,Q540539
Q191793,Q018679
Q559930,Q007719
Q659185,Q020295
Q462087,Q228186
Q534017,Q521589
Q508080,Q227644
Q384887,Q064948
Q499841,Q728241
Q219872,Q572213
Q086168,Q466970
Q442152,Q284155
Q249212,Q702252
Q014928,Q567126
Q019840,Q291005
Q388208,Q219228
Q655223,Q422951
Q103365,Q472228
Q148148,Q436231
Q239306,Q438076
Q091246,Q312299
Q266711,Q093313
Q110423,Q580277
Q394944,Q715897
Q536820,Q698623
Q007395,Q144235
Q178677,Q099257
Q599998,Q505663
Q012198,Q374285
Q125503,Q159877
Q442331,Q698997
Q307041,Q484046
Q448950,Q513849
Q199885,Q180148
Q711742,Q630061
Q027691,Q040983
Q100551,Q562113
Q589410,Q033217
Q667698,Q381271
Q656929,Q113492
Q151038,Q057422
